acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp,label
-2.947262244,6.598419775,6.153098267,-1.236641221,-1.93129771,-0.79389313,34.36529412,1
-2.889801404,6.593631372,6.210559106,-1.816793893,0.419847328,-0.770992366,34.41235294,1
-2.932897034,6.268019946,6.438008264,4.610687023,-4.450381679,1.305343511,34.36529412,1
-3.062183923,6.210559106,6.624755994,-2.847328244,-0.709923664,-4.038167939,34.36529412,1
-2.396595862,6.428431458,6.833051538,0.312977099,-5.351145038,-2.511450382,34.41235294,1
-2.482787122,6.732495068,6.512228516,-0.335877863,-5.717557252,2.106870229,34.50647059,1
-2.00394679,6.531382129,6.76361969,-1.27480916,-1.526717557,-0.061068702,34.45941176,1
-1.443703601,6.059724402,6.993463049,2.969465649,-6.86259542,-0.305343512,34.31823529,1
-1.2976573,6.69179364,6.739677673,-2.702290076,2.870229008,-0.251908397,34.41235294,1
-1.05344873,6.76361969,6.873752966,-1.366412214,-1.93129771,-0.34351145,34.41235294,1
-1.189918225,6.813897925,6.885723975,3.702290076,-0.20610687,-2.221374046,34.41235294,1
-1.699883179,6.342240198,7.194575989,1.145038168,-1.015267176,2.229007634,34.41235294,1
-1.388636963,6.428431458,6.938396411,1.183206107,-1.679389313,-0.328244275,34.45941176,1
-1.405396375,7.007828259,6.538564734,-14.90839695,61.17557252,5.083969466,34.45941176,1
-2.779668127,5.664681128,7.247248425,-1.030534351,-0.175572519,-0.687022901,34.13,1
-3.01429989,5.530605835,7.261613635,-1.030534351,-0.740458015,-0.664122137,34.08294118,1
-2.987963672,5.568913062,7.299920862,-0.648854962,-0.595419847,-0.167938931,34.13,1
-2.839523169,5.59524928,7.350199097,-1.290076336,-1.045801527,0.122137405,34.93,1
-2.762908716,5.568913062,7.304709265,-1.854961832,-0.312977099,-0.717557252,34.22411765,1
-2.319981409,5.834669446,7.024587671,-7.923664122,-0.679389313,-2.083969466,33.51823529,1
-2.504334937,6.121973645,7.115567334,-13.94656489,12.89312977,-3.79389313,34.31823529,1
-3.756502405,3.452438794,8.410830432,-0.244274809,-1.847328244,2.404580153,34.36529412,1
-3.756502405,3.828328455,8.401253625,0.236641221,-1.564885496,-0.198473282,34.27117647,1
-3.514688037,3.945644336,8.231265308,-3.351145038,-3.625954198,-3.740458015,34.31823529,1
-3.667916943,4.017470386,8.231265308,-0.618320611,-0.473282443,-1.038167939,34.31823529,1
-2.236184351,8.71010564,2.808398547,-1.778625954,1,-0.702290076,34.08294118,2
-2.267308972,8.791508496,3.253720056,-13.05343511,3.419847328,-3.603053435,34.27117647,2
-3.131615771,8.350975391,2.214636536,-0.053435115,2.809160305,-1.061068702,34.31823529,2
-2.997540479,8.643067993,2.173935107,-0.969465649,-2.381679389,2.404580153,34.45941176,2
-2.846705774,8.487444885,1.522712256,-2.465648855,-3.679389313,-3.129770992,34.36529412,2
-2.341529224,8.949525806,1.75973822,-1.465648855,-0.572519084,1.366412214,34.41235294,2
-2.442085693,8.901641772,1.893813513,-0.282442748,1.503816794,1.923664122,34.45941176,2
-2.310404602,8.947131604,1.841141077,-1.839694656,0.786259542,-1.236641221,34.41235294,2
-2.499546533,8.772354883,1.958456958,-1.702290076,0.603053435,-0.27480916,34.50647059,2
-2.312798804,8.822633118,1.996764185,-1.870229008,-1.106870229,-1.267175573,34.45941176,2
-2.475604517,8.798691101,2.195482922,-2.358778626,-0.244274809,-1.167938931,34.55352941,2
-2.485181323,8.590395557,2.094926453,-1.282442748,-1.076335878,1.045801527,34.50647059,2
-2.619256616,8.796296899,2.006340991,-0.732824428,3.778625954,0.458015267,34.55352941,2
-2.590526196,8.865728748,2.217030737,-1.86259542,-0.770992366,0.809160305,34.55352941,2
-2.401384265,8.801085303,2.439691492,-0.916030534,-1.58778626,-0.961832061,34.50647059,2
-2.382230652,8.635885388,2.659958044,-5.86259542,-3.06870229,-4.618320611,34.55352941,2
-2.135627881,8.446743457,2.825157959,-12.32061069,-1.847328244,-13.18320611,34.45941176,2
-2.5953146,8.58081875,2.643198633,-3.076335878,0.152671756,-0.328244275,34.60058824,2
